DYRK1A_N,ITSN1_N,pBRAF_N,pCAMKII_N,pERK_N,pMEK_N,pNR2A_N,pPKCAB_N,GSK3B_N,APP_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,pNUMB_N,RAPTOR_N,pP70S6_N,NUMB_N,pGSK3B_N,pPKCG_N,S6_N,AcetylH3K9_N,ARC_N,nNOS_N,Tau_N,IL1B_N,PSD95_N,SNCA_N,Ubiquitin_N,pS6_N,CaNA_N,Genotype
0.711479945,0.807053942,0.165975104,2.118810512,1.07593361,0.250207469,0.727524205,1.525172891,1.393914246,0.389626556,0.362102351,0.480359613,0.361410788,0.818118949,0.474965422,0.36473029,0.216459198,0.187840532,0.193156146,0.963388704,0.380730897,0.106644518,0.111362126,0.148637874,0.184186047,0.373621262,1.693820598,0.128837209,1.115681063,0.111362126,1.363189369,0
0.704633205,0.802537231,0.165057915,2.10728075,1.065637066,0.243243243,0.742553778,1.521097628,1.378240485,0.393546608,0.35314396,0.491174848,0.348731384,0.831081081,0.457253172,0.35452289,0.193188086,0.183455185,0.196723531,0.975494178,0.400961278,0.098361766,0.112036285,0.152382887,0.185824533,0.388302193,1.791835906,0.13633902,1.044476036,0.112036285,1.404481451,0
0.677359194,0.770234987,0.186497576,2.259045132,0.977620291,0.264826557,0.730511003,1.654792988,1.3461395,0.416822081,0.398358821,0.520887728,0.404513241,0.876725103,0.497762029,0.4000373,0.232935472,0.205355662,0.189935334,0.9568065,0.283037639,0.117476372,0.111507213,0.151052893,0.181976455,0.36345548,1.6362129,0.149975129,1.09053225,0.111507213,1.170038136,0
0.591572123,0.678768233,0.161102107,1.975688817,0.838573744,0.230145867,0.613614263,1.333063209,1.179578606,0.364343598,0.327066451,0.44165316,0.349918963,0.764829822,0.4273906,0.337439222,0.204862237,0.168971587,0.193864722,0.97837566,0.353029922,0.100159249,0.100578325,0.160841505,0.178610343,0.364428799,1.65702791,0.144162266,1.020870003,0.100578325,1.272986338,0
0.618517229,0.716672468,0.171597633,2.127044901,0.871388792,0.248868778,0.667942917,1.403411069,1.251827358,0.382004873,0.36407936,0.482944657,0.37086669,0.831534981,0.432822833,0.342151062,0.213713888,0.166736595,0.186120668,1.000503482,0.362339515,0.089955526,0.110682219,0.147184694,0.195435093,0.386842326,1.652261475,0.132835445,1.047243434,0.110682219,1.279936226,0
0.702608291,0.69958081,0.197019096,2.091057289,0.886353051,0.321145785,0.692594318,1.671169073,1.267582673,0.424778761,0.4035864,0.556823475,0.435491383,0.909874243,0.505822077,0.433628319,0.281089893,0.1732848,0.19159497,0.954555482,0.243437017,0.113059784,0.104897419,0.143613501,0.167218178,0.367196117,1.562761968,0.153540702,1.178138098,0.104897419,1.178248401,0
0.598868778,0.690271493,0.187104072,2.045475113,0.850452489,0.27918552,0.654751131,1.516289593,1.261312217,0.411085973,0.381447964,0.530769231,0.4260181,0.883936652,0.484162896,0.413800905,0.25520362,0.159954879,0.190073322,0.963338973,0.323068246,0.096559504,0.112351946,0.150592217,0.159052453,0.349125776,1.611957135,0.150592217,1.118668923,0.112351946,1.219966159,0
0.561866554,0.641891892,0.173775338,1.940878378,0.822212838,0.236908784,0.615498311,1.347339527,1.17504223,0.378378378,0.357896959,0.505489865,0.383445946,0.836993243,0.421030405,0.349873311,0.228673986,0.15247678,0.18697479,0.937748784,0.312030075,0.086023883,0.1036046,0.145400265,0.153803627,0.366430783,1.582706767,0.142525431,0.979544449,0.1036046,1.246130031,0
0.55097021,0.561355562,0.194588685,1.783820716,0.711943154,0.269199235,0.614648811,1.393823449,1.094014758,0.376878929,0.399836021,0.573927303,0.478272752,0.891773709,0.491117792,0.441104127,0.318939601,0.165345723,0.190762503,0.98305548,0.251571468,0.121754578,0.10426346,0.144438371,0.164252528,0.400792566,1.574883848,0.16602897,1.154413774,0.10426346,1.077480186,0
0.538412899,0.701865318,0.223205817,2.082832754,0.839076826,0.346506481,0.699019918,1.531773633,1.314890926,0.46095479,0.447992412,0.651596586,0.559595321,1.035093266,0.562440721,0.5042681,0.39203288,0.15010917,0.193504367,0.929039301,0.29121179,0.095387555,0.097980349,0.147379913,0.155977074,0.413891921,1.554312227,0.165393013,1.068367904,0.097980349,1.144377729,0
0.521126761,0.583045442,0.189476482,1.800956683,0.733988839,0.292319957,0.588094605,1.216848259,1.117193728,0.395163433,0.386925326,0.552218974,0.458942333,0.854371512,0.450969971,0.410045177,0.30029232,0.152730856,0.192989865,0.958333333,0.313907658,0.086148649,0.110078829,0.149774775,0.161317568,0.406109234,1.584881757,0.157657658,1.027167793,0.110078829,1.238457207,0
0.488372093,0.540085679,0.210526316,1.414932681,0.685740514,0.243268054,0.551713586,1.260097919,0.971848225,0.365361077,0.382802938,0.564565483,0.456854345,0.82619339,0.480110159,0.485312118,0.330171359,0.156717593,0.17908332,0.902031816,0.170105528,0.118601355,0.075444952,0.106315955,0.142699638,0.372814616,1.402583084,0.172468105,1.103323358,0.075444952,0.981414396,0
0.514854614,0.564791403,0.175094817,1.487357775,0.686156764,0.268015171,0.555941846,1.213021492,0.961125158,0.389380531,0.408343869,0.586599241,0.509797724,0.882743363,0.474399494,0.455436157,0.340391909,0.135913016,0.180364567,0.853693636,0.232651103,0.090502079,0.091461465,0.136552606,0.143428206,0.342500799,1.403901503,0.179724976,1.030060761,0.091461465,0.994403582,0
0.485099846,0.556374808,0.177572965,1.462365591,0.695852535,0.292473118,0.532411674,1.125960061,0.976036866,0.366513057,0.361290323,0.566513057,0.488479263,0.871889401,0.459293395,0.428571429,0.32688172,0.142459473,0.183887342,0.890453578,0.239233666,0.081218274,0.09317177,0.128377272,0.136400851,0.388570493,1.42492222,0.159325364,1.009988538,0.09317177,1.030948092,0
0.627581675,0.954187007,0.185598949,1.765114532,1.022812617,0.245963199,1.008636876,1.603736388,1.533420954,0.442921517,0.358148704,0.537645513,0.383589936,0.799380398,0.488265115,0.368757041,0.214513706,0.248877042,0.172713362,0.605804827,0.676686905,0.135248532,0.148773385,0.219754183,0.353719335,0.571351004,2.221383089,0.148822745,1.180117479,0.148773385,1.649982724,0
0.651253323,0.962020509,0.188473224,1.807823775,1.053551082,0.260634258,1.04101785,1.854728447,1.563330801,0.46268515,0.395366502,0.561716673,0.394511964,0.823205469,0.506551462,0.388340296,0.234523357,0.248037981,0.167280302,0.61268288,0.637341343,0.130801279,0.14766011,0.211704292,0.34308691,0.569082453,2.215773665,0.162581145,1.066127313,0.14766011,1.63898847,0
0.64434594,0.9671791,0.182589833,1.783551825,1.025841743,0.259549184,1.056587758,1.956427426,1.579741583,0.459964161,0.383853626,0.573139677,0.402338961,0.867207394,0.539469961,0.405639913,0.235216448,0.236124002,0.182244292,0.603165027,0.590310006,0.122888435,0.14316874,0.204102469,0.335483572,0.537033599,2.098199369,0.166326341,1.063393354,0.14316874,1.564924819,0
0.568229103,0.812018113,0.17990454,2.312324073,0.906988129,0.250642516,0.86219557,1.661240974,1.473626239,0.406926937,0.342430547,0.521478399,0.392852772,0.76135112,0.467751805,0.354546567,0.202056052,0.230262737,0.166144601,0.724477402,0.598989964,0.124912101,0.140062648,0.206737838,0.292974493,0.571437704,2.207185323,0.148373074,1.291056703,0.140062648,1.68222208,0
0.587038433,0.863727707,0.189399648,2.375282592,0.917357448,0.270283848,0.897261994,1.861592565,1.53089676,0.422381311,0.360085406,0.560035167,0.40919367,0.792514444,0.496232102,0.387967847,0.217030897,0.236061835,0.169221997,0.731500253,0.576849975,0.124619868,0.140775469,0.204004055,0.301951343,0.55993411,2.212113533,0.165103903,1.157121135,0.140775469,1.660352255,0
0.595904096,0.861763237,0.187687313,2.406218781,0.917832168,0.268856144,0.933316683,1.983516484,1.537337662,0.43031968,0.366883117,0.573801199,0.417457542,0.85964036,0.529220779,0.406218781,0.231768232,0.227919185,0.172556919,0.73362632,0.529756455,0.122993347,0.138192028,0.199902338,0.298297015,0.54696942,2.085820668,0.171580297,1.186595862,0.138192028,1.61081609,0
0.522917915,0.721090473,0.186638706,2.481426004,0.799880168,0.253894548,0.752846016,1.594967046,1.38241462,0.393499101,0.340023966,0.512432594,0.408777711,0.763031756,0.460155782,0.357549431,0.192480527,0.214976286,0.172382342,0.776267785,0.577617658,0.124407151,0.132068588,0.194819409,0.263681138,0.547154323,2.257022984,0.141280555,1.26286027,0.132068588,1.727380518,0
0.530854674,0.748071583,0.187596421,2.549676026,0.819962974,0.26349892,0.802992903,1.849892009,1.438136378,0.415303919,0.350200555,0.551835853,0.423943227,0.78771984,0.491977785,0.387226165,0.2108917,0.207468156,0.169865643,0.740359449,0.520851509,0.120048857,0.133310068,0.186093177,0.257895655,0.507154074,2.188536032,0.160181469,1.269499215,0.133310068,1.650846275,0
0.534999224,0.773863107,0.184541363,2.6034456,0.839670961,0.276579233,0.842309483,1.995498991,1.458016452,0.413161571,0.375756635,0.578922862,0.444358218,0.849914636,0.529411765,0.412851156,0.217910911,0.206994086,0.175366418,0.748350047,0.485214708,0.122310791,0.127624925,0.186423245,0.257992629,0.488128911,2.128739179,0.167823776,1.214451016,0.127624925,1.555326991,0
0.519443385,0.736370568,0.205299276,2.749142204,0.787266489,0.284216546,0.759054518,1.685093404,1.437094929,0.417460923,0.356080823,0.550133435,0.461303851,0.815287838,0.479603507,0.39306138,0.211780404,0.202085286,0.181935333,0.785731022,0.551077788,0.118673852,0.135074977,0.197282099,0.241682287,0.546860356,2.216377694,0.160613871,1.380974695,0.135074977,1.655576382,0
0.508589768,0.735699453,0.201057202,2.746837833,0.781952048,0.287710025,0.77024731,1.856333774,1.436284689,0.425901454,0.39116481,0.570889183,0.457428733,0.828204644,0.492920521,0.407211629,0.212573155,0.197085357,0.177423086,0.815752949,0.52475133,0.125607217,0.126185519,0.198588943,0.245662734,0.54661115,2.188295165,0.170830442,1.48912792,0.126185519,1.681702521,0
0.516537517,0.737478737,0.183897184,2.758079758,0.795879796,0.298998299,0.812133812,1.997731998,1.435267435,0.425817426,0.3997354,0.593649594,0.475146475,0.856170856,0.524853525,0.434889435,0.216594217,0.194162996,0.179955947,0.780726872,0.442951542,0.115528634,0.129845815,0.190969163,0.235792952,0.493722467,2.081277533,0.166189427,1.375330396,0.129845815,1.585792952,0
0.454421149,0.685278031,0.208751139,2.586144029,0.731084777,0.283272562,0.710118505,1.623518687,1.403372835,0.384229717,0.353691887,0.529854148,0.434366454,0.817228806,0.477666363,0.383090246,0.189835916,0.185584093,0.172604253,0.785832643,0.529549848,0.12054681,0.129798398,0.187931511,0.228666114,0.555233361,2.098729633,0.163766915,1.352112676,0.129798398,1.615575808,0
0.471745596,0.697323267,0.215511325,2.592541752,0.760466712,0.308396248,0.741020361,1.767787692,1.406085564,0.382292382,0.373369938,0.590711508,0.455730954,0.858156028,0.489132922,0.412948982,0.20979181,0.182792817,0.173009917,0.778745645,0.482980434,0.106807826,0.113106406,0.18064862,0.217770035,0.508978826,2.066604128,0.185875101,1.426159207,0.113106406,1.561913696,0
0.481272563,0.684115523,0.22450361,2.576940433,0.756543321,0.310243682,0.753610108,1.915388087,1.397563177,0.420126354,0.379738267,0.588898917,0.472924188,0.88898917,0.527075812,0.436371841,0.197879061,0.179869281,0.176601307,0.775163399,0.442745098,0.105490196,0.114379085,0.17372549,0.210588235,0.496732026,2.01124183,0.185620915,1.357385621,0.114379085,1.530457516,0
0.560614372,0.763027976,0.167635765,1.892484915,0.832473944,0.24509051,0.864399342,1.586725178,1.450246846,0.414810752,0.337356007,0.509599561,0.391771805,0.794624246,0.478551838,0.336478332,0.183104772,0.247357675,0.177516214,0.900372328,0.534110017,0.106713908,0.149351429,0.206882056,0.297862119,0.606834014,2.495856354,0.156617824,1.244535191,0.149351429,1.680398751,0
0.516108108,0.749621622,0.16227027,1.854378378,0.843351351,0.238810811,0.887351351,1.745405405,1.430162162,0.41372973,0.337621622,0.516540541,0.391243243,0.800216216,0.478594595,0.344864865,0.187459459,0.255174471,0.177214435,0.874500447,0.521085595,0.105219207,0.143155383,0.212287504,0.305099911,0.617834775,2.57148822,0.166119893,1.251297346,0.143155383,1.720906651,0
0.507321275,0.77002584,0.177756245,1.832041344,0.832687339,0.253122308,0.91042205,1.940245478,1.460594315,0.42118863,0.351851852,0.547911283,0.404069767,0.829888028,0.507859604,0.366602067,0.199612403,0.248361881,0.184331532,0.848373376,0.519772388,0.106046672,0.140878262,0.206288079,0.288309001,0.573514197,2.384584435,0.161800207,1.168640074,0.140878262,1.645763881,0
0.505092786,0.695549044,0.174270964,2.663038928,0.719966513,0.255616018,0.796846658,1.601646435,1.419143296,0.408120553,0.329426538,0.520022325,0.410353007,0.798102414,0.471885029,0.345332775,0.182363611,0.236384885,0.171562135,0.925126607,0.50377873,0.105259057,0.151928321,0.212855473,0.272536034,0.598987145,2.579898714,0.167199065,1.322399688,0.151928321,1.699259836,0
0.479120267,0.689170379,0.16717706,2.652561247,0.729955457,0.260996659,0.820016704,1.730094655,1.423023385,0.415089087,0.339643653,0.528396437,0.424276169,0.806514477,0.486219376,0.35857461,0.182488864,0.229033991,0.176244917,0.910764981,0.498810711,0.10319957,0.148776184,0.211002839,0.264789381,0.587508632,2.520524822,0.182076268,1.228420164,0.148776184,1.705363309,0
0.457992362,0.703491544,0.160665576,2.652073104,0.711811238,0.262956901,0.834833606,1.868248773,1.417075832,0.413120567,0.348199673,0.539689034,0.424031642,0.831696672,0.507092199,0.370840153,0.180714675,0.228912928,0.183145472,0.935244724,0.514411075,0.103411756,0.154020728,0.214615326,0.274982979,0.558438611,2.463348211,0.185490582,1.227929495,0.154020728,1.68242681,0
0.420541987,0.62295082,0.174305788,2.724322516,0.643860823,0.256774841,0.694546671,1.485279358,1.307795249,0.382234861,0.319839411,0.495817999,0.385747742,0.777350284,0.446637671,0.340414854,0.171462027,0.214021772,0.169180066,0.950364526,0.472585639,0.098571857,0.103565365,0.205033457,0.226905023,0.568660741,2.450314591,0.176570458,1.347248577,0.103565365,1.653051034,0
0.437456926,0.6404204,0.171088904,2.77911785,0.630427292,0.266884907,0.742074431,1.662129566,1.372157133,0.408511371,0.339593384,0.528945555,0.437801516,0.814093728,0.477084769,0.348897312,0.179186768,0.21302578,0.167183563,0.921593332,0.482942431,0.098856368,0.143438651,0.204496996,0.23929056,0.540027137,2.407927893,0.18918395,1.313529754,0.143438651,1.653808878,0
0.403742414,0.640761969,0.165037087,2.754551585,0.630310182,0.280681052,0.771915037,1.805461902,1.334962913,0.4045853,0.340357384,0.53927849,0.444032367,0.838334457,0.496797033,0.383513149,0.181557653,0.210957847,0.193016302,0.953795698,0.507668564,0.099064339,0.14642616,0.202855214,0.237387865,0.523198611,2.390855599,0.191280023,1.30529565,0.14642616,1.607118742,0
0.383423181,0.58378257,0.204402516,2.618598383,0.619721473,0.272012579,0.676774483,1.335804133,1.26819407,0.426100629,0.347484277,0.5024708,0.39442947,0.784591195,0.442722372,0.372192273,0.17228212,0.194770897,0.16585237,0.894361548,0.548395616,0.080021128,0.122540605,0.172322725,0.204014261,0.564769576,2.397068533,0.149214314,1.413706589,0.122540605,1.739865311,0
0.38264963,0.596951356,0.207800941,2.672046626,0.599193006,0.272360457,0.674288276,1.355973997,1.260479713,0.404841964,0.343196593,0.513113652,0.398565344,0.779197489,0.445415826,0.352387357,0.180452813,0.19291546,0.175138267,0.907426916,0.549644456,0.085198841,0.128127469,0.174611535,0.230576771,0.553858309,2.384382407,0.161443245,1.43705557,0.128127469,1.718461944,0
0.396305256,0.577083792,0.182757862,2.64438091,0.585880801,0.270288102,0.680888498,1.342643501,1.288102045,0.372773257,0.337585221,0.501869364,0.424895536,0.773477018,0.447327909,0.354519463,0.177039806,0.191151146,0.172340707,0.90952444,0.546165055,0.087163863,0.126506822,0.171678368,0.195522586,0.543780633,2.325606041,0.175519936,1.369850311,0.126506822,1.690157637,0
0.378328982,0.590861619,0.221148825,2.548563969,0.551174935,0.278590078,0.628720627,1.25770235,1.29843342,0.365535248,0.352480418,0.480156658,0.423759791,0.765796345,0.420626632,0.323759791,0.174673629,0.185350529,0.169808201,0.940806878,0.527116402,0.081183862,0.131944444,0.174933862,0.201554233,0.638558201,2.406084656,0.176752646,1.512070106,0.131944444,1.73015873,0
0.366569691,0.573657762,0.224543771,2.633430309,0.617297011,0.291721767,0.617297011,1.343824385,1.302036498,0.355461518,0.340650622,0.494049193,0.389050516,0.798201534,0.45517059,0.353874636,0.181433483,0.183850732,0.169213447,0.905742319,0.529676693,0.082354834,0.131253016,0.168409201,0.196879524,0.637767412,2.368988258,0.183850732,1.473218594,0.131253016,1.633585331,0
0.385658409,0.583311604,0.212255541,2.612516297,0.583833116,0.302477184,0.646153846,1.342633638,1.24589309,0.352542373,0.349413299,0.483181226,0.395045632,0.766883963,0.433376793,0.349674055,0.190612777,0.190674571,0.169524115,0.88831918,0.509053036,0.087646211,0.129626662,0.182663035,0.190514341,0.60390963,2.292741548,0.191956417,1.402820061,0.129626662,1.613042782,0
0.3778463,0.555621442,0.158325427,3.391129032,0.643145161,0.251897533,0.904055977,1.171963947,1.063804554,0.3721537,0.293643264,0.432281784,0.337405123,0.721062619,0.457542694,0.277514231,0.146940228,0.223273207,0.158747617,0.892726206,0.45035929,0.117759202,0.138143423,0.180231706,0.215207508,0.719167033,2.396539082,0.149508726,1.273427189,0.138143423,1.817861857,0
0.39071277,0.582698789,0.170640369,3.513543877,0.674447635,0.241168393,0.94669829,1.253401573,1.12570216,0.392085882,0.31456747,0.46074148,0.355511172,0.775683435,0.481462988,0.297091499,0.156409936,0.217597663,0.158086893,0.876159182,0.444249726,0.116465863,0.136911281,0.178021176,0.220518437,0.697042716,2.373932092,0.157429719,1.215991238,0.136911281,1.769404892,0
0.395357544,0.576313491,0.168601023,3.511543741,0.663297142,0.242730563,0.985648321,1.302758018,1.140771247,0.391364033,0.319231249,0.466242356,0.36028953,0.765755647,0.489579433,0.305129165,0.15849245,0.218307826,0.159688132,0.874314178,0.435677159,0.111608432,0.134709789,0.172754837,0.205457696,0.68697661,2.327461738,0.14719896,1.274978342,0.134709789,1.723144672,0
0.384858543,0.540698593,0.174648333,3.867235657,0.607554923,0.240872451,0.851272325,1.17053896,1.077287814,0.406827881,0.314683104,0.476055002,0.429429429,0.756756757,0.465307413,0.311363996,0.174174174,0.196433301,0.149995586,0.861657985,0.413701775,0.109826079,0.137724022,0.178599806,0.196080162,0.664606692,2.323386598,0.144521939,1.290103293,0.137724022,1.682969895,0
0.356513531,0.524386407,0.172592826,3.844398993,0.597388295,0.248269352,0.846601636,1.189112649,1.085745752,0.391126495,0.313876652,0.472781624,0.389867841,0.741976086,0.471837634,0.317809943,0.168974198,0.202674618,0.158850637,0.860124695,0.410228608,0.110870155,0.142314991,0.185687178,0.208276859,0.72097226,2.380771664,0.167976868,1.339025933,0.142314991,1.753591759,0
0.362914748,0.555484998,0.184632481,3.859183997,0.588347357,0.251309732,0.885061121,1.287505953,1.098745833,0.384187966,0.322590887,0.487061438,0.394983331,0.771709795,0.489125258,0.330052389,0.175583426,0.201415351,0.16231174,0.87143894,0.407729995,0.102159318,0.139539104,0.188985665,0.199872981,0.664217021,2.352476864,0.166213028,1.295953547,0.139539104,1.72409726,0
0.359692368,0.500887399,0.182015382,3.681325182,0.545848945,0.257345691,0.761782686,1.078682706,1.012817985,0.381187143,0.318674818,0.484519819,0.395188326,0.751331098,0.464602642,0.323802011,0.188917373,0.186680589,0.153382063,0.828170321,0.370808679,0.09270217,0.133658197,0.169161156,0.201879568,0.637428936,2.274277758,0.169857292,1.334725606,0.133658197,1.626290753,0
0.379945163,0.504504505,0.179984332,3.69800235,0.511946729,0.25342734,0.774383079,1.093811203,0.999216608,0.375636506,0.318448884,0.498237368,0.40893067,0.74951038,0.464943204,0.325303564,0.189385037,0.186184055,0.158977999,0.859593092,0.381476224,0.096995505,0.139105749,0.178613674,0.188549799,0.661580317,2.264726757,0.174000473,1.307546723,0.139105749,1.61497516,0
0.328703704,0.493441358,0.183256173,3.71412037,0.509259259,0.257137346,0.78125,1.156828704,0.984375,0.367862654,0.323302469,0.453703704,0.421682099,0.763117284,0.470871914,0.330246914,0.188078704,0.181199236,0.161490683,0.883301481,0.372551362,0.098542762,0.139154324,0.170210225,0.175585284,0.659818442,2.285355948,0.171882465,1.286072623,0.139154324,1.586359293,0
0.346891071,0.47428705,0.193080879,3.471482001,0.528517999,0.269518467,0.697054698,1.033426835,0.988312295,0.384525479,0.316503039,0.502337541,0.469611968,0.771154745,0.467741935,0.359747546,0.201963534,0.162427426,0.155792093,0.830522532,0.340060824,0.092756428,0.140586121,0.165745093,0.188830523,0.623030135,2.175006912,0.170030412,1.34835499,0.140586121,1.538291402,0
0.33923236,0.477591358,0.19030108,3.416226155,0.503332567,0.257871754,0.704895426,1.012640772,0.959089864,0.378763503,0.323833601,0.503332567,0.451160653,0.761204321,0.453918639,0.339921857,0.193288899,0.174596491,0.163087719,0.871719298,0.341052632,0.091649123,0.14077193,0.170245614,0.171649123,0.63522807,2.188631579,0.186526316,1.335298246,0.14077193,1.577964912,0
